FIPS,FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,RECFAC09,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12,GHVEG_FARMS07,GHVEG_FARMS12,CSA07,VEG_FARMS07,VEG_FARMS12,FMRKT09,PCT_LOCLFARM07,PCT_LOCLFARM12
1001,1001,AL,Autauga,11.4,13.0,31.5,34.1,4,18428.4396853647,33.76965730033296,5344.42747247314,9.793530396131903,664.216487208815,3.2847855556540977,4822.5002687735,8.837111778735043,2388.23322829447,4.376377981518517,6,0.110834026,1,0.0184723,29,0.535697793,2,0.0369447,37.416666666666664,0.6740041551080207,6,5,-16.66667,0.1191564,0.0900674,-24.41246,0.0,0.0,2.0,34.0,45.0,2.0,6.024096385542169,13.110539845758353
1003,1003,AL,Baldwin,9.8,10.4,26.2,27.4,18,35210.8140777756,19.318472596371,9952.14402697035,5.460260624349354,1571.77991534128,2.1478271595262095,7916.13193162258,4.343199150480114,6404.00860293696,3.5135701330134474,24,0.13377479,6,0.0334437,119,0.663300001,21,0.117052941,138.33333333333334,0.7250554711113442,25,27,8.0,0.1418746,0.1415168,-0.2521258,0.0,4.0,13.0,51.0,50.0,4.0,7.023705004389816,10.414560161779574
1005,1005,AL,Barbour,13.6,18.4,37.6,44.4,1,5722.3056022933,20.840971709557856,3135.67608617583,11.420315716122772,406.142372194327,4.135869370614328,940.419326548446,3.4250621937882726,770.214550126597,2.8051664425341336,5,0.180786058,0,0.0,14,0.506200962,2,0.072314423,34.833333333333336,1.2805901743808439,6,7,16.66667,0.2010993,0.2573435,27.96833,0.0,0.0,1.0,11.0,7.0,2.0,2.889245585874799,2.276707530647986
1007,1007,AL,Bibb,11.1,14.8,32.3,40.3,1,1044.86732736101,4.559752683225005,491.449066238583,2.1446609916586645,275.06087499396,3.4585800954854773,249.204752698424,1.0875180130849835,150.553323396136,0.6570077390187039,6,0.261540473,1,0.0435901,19,0.828211499,0,0.0,16.25,0.7191220073461079,6,5,-16.66667,0.2779193,0.2212683,-20.38397,0.0,2.0,2.0,10.0,11.0,1.0,5.687203791469194,6.878306878306878
1009,1009,AL,Blount,11.4,14.1,31.9,34.6,3,1548.17555923387,2.700840094961568,609.02770839259,1.0624676535930184,705.466782736982,3.269379843993799,384.911607351067,0.671490191115221,195.049051213748,0.34026909600807365,6,0.104637171,1,0.0174395,31,0.540625381,2,0.0348791,38.0,0.6571438453290908,10,6,-40.0,0.1730283,0.1037596,-40.0332,2.0,0.0,7.0,67.0,64.0,1.0,5.9405940594059405,7.0910556003223215
1011,1011,AL,Bullock,14.9,19.6,37.8,43.0,0,4089.9835478141,37.47465226144493,2199.35982793515,20.151730144173996,272.844258279601,7.285560968747689,607.097868215287,5.562560639685605,554.388020740519,5.079604368155754,2,0.182033312,0,0.0,2,0.182033312,1,0.091016656,14.333333333333334,1.3684679523900452,2,2,0.0,0.1831334,0.190949,4.267708,0.0,0.0,2.0,17.0,8.0,1.0,4.693140794223827,4.395604395604396
1013,1013,AL,Butler,15.1,17.7,36.8,36.3,0,1307.81970553017,6.243470213062348,593.225138622194,2.832029114537614,395.03167176685,4.652357458095042,264.826077122668,1.2642673276491525,254.954428314888,1.217140537140822,3,0.143767671,1,0.0479226,24,1.150141372,1,0.0479226,27.25,1.3419018072585809,6,4,-33.33333,0.2974567,0.1969764,-33.77981,0.0,0.0,3.0,20.0,23.0,2.0,2.2448979591836733,7.616707616707617
1015,1015,AL,Calhoun,14.5,14.9,33.5,32.2,7,30901.1505851428,26.061085741273487,11909.1628579287,10.043823885848852,1252.15018593941,2.645518129638947,6959.88710640568,5.869756018626387,4974.95713302801,4.195726759292253,25,0.211214653,3,0.0253458,88,0.743475579,2,0.0168972,137.91666666666666,1.1758002546264719,22,19,-13.63636,0.1939659,0.1619834,-16.48874,0.0,1.0,3.0,25.0,15.0,2.0,4.761904761904762,8.445945945945946
1017,1017,AL,Chambers,16.1,16.4,35.5,39.7,2,6748.21322261533,19.722967185782053,3018.28474660405,8.821524906047202,616.696813443102,4.426159573983363,1531.67667699948,4.476623343561245,1170.80546726137,3.4219069626227387,7,0.203583062,1,0.0290833,22,0.63983248,1,0.0290833,34.25,1.005460310004697,6,6,0.0,0.1740493,0.176139,1.200685,1.0,3.0,0.0,6.0,8.0,1.0,4.464285714285714,7.308970099667775
1019,1019,AL,Cherokee,13.6,13.3,31.5,33.6,1,79.410234562587,0.30555325161640307,34.4838623480173,0.13268637634390432,378.737459294195,3.5642523931318935,17.3260469394154,0.06666684727929277,9.22233963641338,0.03548555018051245,4,0.154714938,1,0.0386787,14,0.541502282,1,0.0386787,30.999999999999996,1.191345451750509,5,6,20.0,0.2048089,0.230583,12.58446,0.0,0.0,4.0,17.0,4.0,1.0,3.5168195718654434,2.4955436720142603
1021,1021,AL,Chilton,10.2,13.3,34.8,35.9,3,1456.67789105128,3.3377125565412094,736.957576654768,1.6886043045958528,499.805098437034,3.0185112841951565,333.491807807717,0.7641358472325849,241.694569402323,0.5537991645907088,7,0.160978751,1,0.022997,37,0.850887683,4,0.091987858,46.75,1.0668887925329194,7,7,0.0,0.1639498,0.159748,-2.562821,0.0,1.0,3.0,37.0,45.0,0.0,8.992248062015504,10.681399631675875
1023,1023,AL,Choctaw,14.7,18.1,36.5,40.8,0,2612.25386849156,18.848790450188034,1611.53400261431,11.62806842206732,380.70327475254,6.489997864857483,534.243818094832,3.8548511299143664,438.877645846124,3.166733861361743,4,0.286204923,0,0.0,16,1.144819691,1,0.071551231,16.333333333333336,1.1980733025257344,5,3,-40.0,0.355038,0.2200543,-38.01952,0.0,0.0,2.0,18.0,14.0,1.0,3.0303030303030303,5.64516129032258
1025,1025,AL,Clarke,14.1,16.3,36.0,38.2,2,5060.66098327353,19.589908192132274,2901.6949963233,11.232512663350366,752.006350178001,7.27489939226082,1360.62166611869,5.266990539692215,729.134505776814,2.8224925706530946,6,0.230432445,2,0.076810815,18,0.691297335,2,0.076810815,40.166666666666664,1.5963859412053043,14,8,-42.85714,0.533049,0.3179524,-40.35213,0.0,0.0,0.0,14.0,16.0,1.0,5.919003115264798,6.844106463878327
